,minority_size,tp,fp,tn,fn,tpr,tnr,roc_auc,geometric_mean,arithmetic_mean,f1_score,precision,layers,method
46,0.0005,1310,184792,469253,19,0.9857040000000001,0.717463,0.990585,0.8409549999999999,0.851583,0.013978,0.007039,2,rus
47,0.0005,1310,150672,503373,19,0.9857040000000001,0.7696310000000001,0.990957,0.870992,0.877667,0.017089,0.008619,2,rus
48,0.0005,1310,151550,502495,19,0.9857040000000001,0.768288,0.99095,0.870232,0.8769959999999999,0.016992,0.00857,2,rus
49,0.0005,1319,318188,335857,10,0.992476,0.5135069999999999,0.991857,0.713893,0.752992,0.008222,0.004128,2,rus
50,0.0005,1322,636984,17061,7,0.994733,0.026085,0.990821,0.161084,0.510409,0.0041340000000000005,0.002071,2,rus
51,0.0005,1311,312809,341236,18,0.986456,0.521732,0.989455,0.7174020000000001,0.7540939999999999,0.008312,0.004174000000000001,2,rus
52,0.0005,1310,157545,496500,19,0.9857040000000001,0.7591220000000001,0.990875,0.8650260000000001,0.8724129999999999,0.016356,0.008246999999999999,2,rus
53,0.0005,1311,164251,489794,18,0.986456,0.748869,0.990771,0.859492,0.867662,0.015711000000000003,0.007918000000000001,2,rus
54,0.0005,1311,248351,405694,18,0.986456,0.6202850000000001,0.990143,0.78223,0.80337,0.010447,0.005251,2,rus
55,0.0005,1310,355759,298286,19,0.9857040000000001,0.456063,0.988721,0.67048,0.7208829999999999,0.00731,0.003669,2,rus
56,0.0005,1324,643318,10727,5,0.996238,0.016401,0.9923270000000001,0.127825,0.506319,0.004099,0.002054,2,rus
57,0.0005,1322,546453,107592,7,0.994733,0.164502,0.98906,0.404519,0.5796180000000001,0.004815,0.0024129999999999998,2,rus
58,0.0005,1310,166096,487949,19,0.9857040000000001,0.7460479999999999,0.990823,0.8575440000000001,0.865876,0.015527000000000001,0.007825,2,rus
59,0.0005,1310,139463,514582,19,0.9857040000000001,0.786768,0.991082,0.8806360000000001,0.886236,0.018437000000000002,0.009306,2,rus
60,0.005,1328,47314,606731,1,0.9992479999999999,0.927659,0.9992850000000001,0.9627879999999999,0.9634530000000001,0.053151,0.027302,2,rus
61,0.005,1314,3099,650946,15,0.988713,0.9952620000000001,0.99935,0.9919819999999999,0.9919879999999999,0.45768000000000003,0.297757,2,rus
62,0.005,1314,3446,650599,15,0.988713,0.9947309999999999,0.999273,0.991718,0.9917219999999999,0.431598,0.27605,2,rus
63,0.005,1317,15530,638515,12,0.9909709999999999,0.9762549999999999,0.9976459999999999,0.9835860000000001,0.983613,0.14491600000000002,0.07817400000000001,2,rus
64,0.005,1310,2560,651485,19,0.9857040000000001,0.996086,0.992957,0.9908809999999999,0.9908950000000001,0.503943,0.338501,2,rus
65,0.005,1326,34495,619550,3,0.997743,0.947259,0.9994639999999999,0.972173,0.9725010000000001,0.071386,0.037017,2,rus
66,0.005,1317,5470,648575,12,0.9909709999999999,0.9916370000000001,0.9993040000000001,0.9913040000000001,0.9913040000000001,0.324544,0.194047,2,rus
67,0.005,1328,71083,582962,1,0.9992479999999999,0.891318,0.999091,0.9437409999999999,0.945283,0.036018,0.018340000000000002,2,rus
68,0.005,1323,44965,609080,6,0.9954850000000001,0.931251,0.999023,0.9628329999999999,0.963368,0.05556799999999999,0.028582,2,rus
69,0.005,1329,72699,581346,0,1.0,0.8888469999999999,0.9987389999999999,0.942787,0.9444239999999999,0.035272000000000005,0.017953,2,rus
70,0.005,1329,71748,582297,0,1.0,0.890301,0.9993209999999999,0.943558,0.9451510000000001,0.035723000000000005,0.018186,2,rus
71,0.005,1323,70168,583877,6,0.9954850000000001,0.892717,0.9971180000000001,0.942702,0.944101,0.036336,0.018506,2,rus
72,0.005,1317,18054,635991,12,0.9909709999999999,0.9723959999999999,0.9991030000000001,0.98164,0.981684,0.127246,0.06798799999999999,2,rus
73,0.005,1324,71089,582956,5,0.996238,0.891309,0.9988670000000001,0.942314,0.943773,0.035908999999999996,0.018284,2,rus
74,0.005,1310,932,653113,19,0.9857040000000001,0.998575,0.9930629999999999,0.992118,0.992139,0.733688,0.5843,2,rus
75,0.005,1317,5091,648954,12,0.9909709999999999,0.992216,0.998941,0.9915930000000001,0.9915930000000001,0.340442,0.20552399999999998,2,rus
76,0.005,1329,71885,582160,0,1.0,0.890092,0.9993629999999999,0.9434469999999999,0.9450459999999999,0.035657,0.018152,2,rus
77,0.005,1329,72729,581316,0,1.0,0.8888010000000001,0.9994040000000001,0.9427629999999999,0.944401,0.035258,0.017945,2,rus
78,0.005,1329,74368,579677,0,1.0,0.886295,0.998778,0.941433,0.943148,0.034508,0.017557,2,rus
79,0.005,1328,68190,585855,1,0.9992479999999999,0.895741,0.9994850000000001,0.9460799999999999,0.9474940000000001,0.037489,0.019103,2,rus
80,0.005,1328,72674,581371,1,0.9992479999999999,0.888885,0.9989950000000001,0.9424520000000001,0.944066,0.035258,0.017945,2,rus
81,0.005,1329,72223,581822,0,1.0,0.889575,0.9993770000000001,0.9431729999999999,0.944787,0.035496,0.018068999999999998,2,rus
82,0.005,1327,70189,583856,2,0.998495,0.8926850000000001,0.9991959999999999,0.944109,0.9455899999999999,0.036433999999999994,0.018555000000000002,2,rus
83,0.005,1328,70630,583415,1,0.9992479999999999,0.8920100000000001,0.9989899999999999,0.944108,0.945629,0.036241,0.018455000000000003,2,rus
84,0.005,1328,72814,581231,1,0.9992479999999999,0.8886709999999999,0.9989969999999999,0.9423389999999999,0.943959,0.035192,0.017912,2,rus
85,0.005,1310,849,653196,19,0.9857040000000001,0.9987020000000001,0.9916940000000001,0.992181,0.9922030000000001,0.751147,0.606762,2,rus
86,0.005,1321,35074,618971,8,0.99398,0.9463739999999999,0.9991059999999999,0.969885,0.9701770000000001,0.070035,0.036295999999999995,2,rus
87,0.005,1328,46102,607943,1,0.9992479999999999,0.9295120000000001,0.9993920000000001,0.963749,0.9643799999999999,0.054472,0.027999,2,rus
88,0.005,1319,32059,621986,10,0.992476,0.950983,0.9990190000000001,0.971508,0.97173,0.076008,0.039517000000000004,2,rus
89,0.005,1318,5203,648842,11,0.9917229999999999,0.9920450000000001,0.999381,0.991884,0.991884,0.335796,0.20211600000000002,2,rus
90,0.01,1317,3774,650271,12,0.9909709999999999,0.99423,0.9991700000000001,0.992599,0.9926,0.41028000000000003,0.25869200000000003,2,rus
91,0.01,1310,2645,651400,19,0.9857040000000001,0.995956,0.993084,0.990816,0.9908299999999999,0.49583599999999994,0.331226,2,rus
92,0.01,1316,5502,648543,13,0.990218,0.9915879999999999,0.999308,0.9909030000000001,0.9909030000000001,0.32306399999999996,0.193018,2,rus
93,0.01,1316,3664,650381,13,0.990218,0.994398,0.9989299999999999,0.9923059999999999,0.992308,0.417182,0.264257,2,rus
94,0.01,1316,4804,649241,13,0.990218,0.992655,0.9989549999999999,0.9914360000000001,0.9914370000000001,0.35333600000000004,0.215033,2,rus
95,0.01,1316,3135,650910,13,0.990218,0.995207,0.999218,0.9927090000000001,0.992712,0.455363,0.295664,2,rus
96,0.01,1317,5591,648454,12,0.9909709999999999,0.991452,0.999446,0.9912110000000001,0.9912110000000001,0.319777,0.190649,2,rus
97,0.01,1327,30268,623777,2,0.998495,0.953722,0.9992969999999999,0.975852,0.976108,0.08061,0.042,2,rus
98,0.01,1310,983,653062,19,0.9857040000000001,0.998497,0.9930040000000001,0.99208,0.9921,0.7233569999999999,0.571304,2,rus
99,0.01,1313,3474,650571,16,0.9879610000000001,0.9946879999999999,0.99895,0.9913190000000001,0.991325,0.42936599999999997,0.274285,2,rus
100,0.01,1314,1871,652174,15,0.988713,0.9971389999999999,0.999239,0.992917,0.992926,0.5821890000000001,0.412559,2,rus
101,0.01,1317,5521,648524,12,0.9909709999999999,0.991559,0.999352,0.991265,0.991265,0.322517,0.1926,2,rus
102,0.01,1315,2742,651303,14,0.989466,0.995808,0.998969,0.992632,0.9926370000000001,0.488303,0.324131,2,rus
103,0.01,1328,70308,583737,1,0.9992479999999999,0.892503,0.9993569999999999,0.944368,0.945875,0.036400999999999996,0.018538,2,rus
104,0.01,1316,5644,648401,13,0.990218,0.9913709999999999,0.999439,0.9907940000000001,0.9907940000000001,0.317529,0.18908,2,rus
105,0.01,1310,895,653150,19,0.9857040000000001,0.998632,0.992677,0.9921469999999999,0.992168,0.74137,0.594104,2,rus
106,0.01,1316,3840,650205,13,0.990218,0.994129,0.9994639999999999,0.9921719999999999,0.992174,0.40586,0.255237,2,rus
107,0.01,1317,2898,651147,12,0.9909709999999999,0.995569,0.999149,0.993267,0.9932700000000001,0.475108,0.312456,2,rus
108,0.01,1321,49324,604721,8,0.99398,0.924586,0.9989879999999999,0.958656,0.959283,0.050832999999999996,0.026083999999999996,2,rus
109,0.01,1319,40457,613588,10,0.992476,0.9381430000000001,0.998841,0.9649270000000001,0.965309,0.061199,0.031573000000000004,2,rus
110,0.01,1317,5601,648444,12,0.9909709999999999,0.9914360000000001,0.9991270000000001,0.9912030000000001,0.9912040000000001,0.319389,0.19037300000000001,2,rus
